path_no,o_zone_id,d_zone_id,node_sequence,link_sequence,geometry,Path_Flows
749,13,18,13;12;3;1;2;6;8;16;18;,38;35;5;1;4;16;22;50;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744)",1.1359530687332153
750,13,18,13;12;3;4;5;6;8;16;18;,38;35;6;9;12;16;22;50;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744)",63.41056823730469
751,13,18,13;24;21;20;18;,39;75;64;60;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744)",52.31193542480469
752,13,18,13;24;23;22;20;18;,39;76;72;68;60;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.694078 43.546744)",0.0
753,13,19,13;12;11;10;15;19;,38;36;32;28;45;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",52.479515075683594
754,13,19,13;12;11;14;15;19;,38;36;34;41;45;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)",77.61470031738281
755,13,19,13;12;3;4;5;9;10;15;19;,38;35;6;9;13;25;28;45;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",6.677024841308594
756,13,19,13;24;21;22;15;19;,39;75;65;67;45;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",57.777069091796875
757,13,19,13;24;23;22;15;19;,39;76;72;67;45;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",105.4517822265625
758,13,20,13;24;21;20;,39;75;64;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333)",5.219578266143799
759,13,20,13;12;3;1;2;6;8;16;18;20;,38;35;5;1;4;16;22;50;56;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",78.37800598144531
760,13,20,13;12;3;4;5;6;8;16;18;20;,38;35;6;9;12;16;22;50;56;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",58.8756103515625
761,13,20,13;24;23;22;20;,39;76;72;68;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333)",457.52679443359375
762,13,21,13;24;21;,39;75;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485)",32.71836853027344
763,13,21,13;24;23;22;20;21;,39;76;72;68;62;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.730979 43.510485)",567.2816162109375
764,13,22,13;24;21;22;,39;75;65;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858)",19.74408721923828
765,13,22,13;24;23;22;,39;76;72;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858)",5.902695655822754
766,13,22,13;12;11;14;15;22;,38;36;34;41;46;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",1274.353271484375
767,13,23,13;24;23;,39;76;,"LINESTRING (-96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858)",29.3491153717041
768,13,23,13;12;11;14;23;,38;36;34;42;,"LINESTRING (-96.793377 43.490707, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858)",770.65087890625
769,14,1,14;11;4;3;1;,40;31;8;5;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",25.45111656188965
770,14,1,14;11;12;3;1;,40;33;35;5;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",4.0969367027282715
771,14,1,14;23;24;13;12;3;1;,42;73;74;38;35;5;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",270.4519348144531
772,14,2,14;11;4;3;1;2;,40;31;8;5;1;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",73.4513931274414
773,14,2,14;11;4;5;6;2;,40;31;9;12;14;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711251 43.605813)",42.09267044067383
774,14,2,14;11;12;3;1;2;,40;33;35;5;1;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",81.40194702148438
775,14,2,14;23;24;13;12;3;1;2;,42;73;74;38;35;5;1;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",0.0
776,14,3,14;11;4;3;,40;31;8;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962)",32.75495147705078
777,14,3,14;11;12;3;,40;33;35;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962)",37.74587631225586
778,14,3,14;23;24;13;12;3;,42;73;74;38;35;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962)",29.499176025390625
779,14,4,14;11;4;,40;31;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654)",1.9287877082824707
780,14,4,14;11;12;3;4;,40;33;35;6;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654)",40.87042236328125
781,14,4,14;23;24;13;12;3;4;,42;73;74;38;35;6;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654)",457.2008056640625
782,14,5,14;11;4;5;,40;31;9;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034)",0.8673639893531799
783,14,5,14;11;12;3;4;5;,40;33;35;6;9;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",75.84150695800781
784,14,5,14;15;10;9;5;,41;43;26;23;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034)",35.648948669433594
785,14,5,14;23;24;13;12;3;4;5;,42;73;74;38;35;6;9;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",0.0
786,14,6,14;11;4;5;6;,40;31;9;12;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",57.53159713745117
787,14,6,14;11;12;3;1;2;6;,40;33;35;5;1;4;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",48.10191345214844
788,14,6,14;23;24;13;12;3;1;2;6;,42;73;74;38;35;5;1;4;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",87.9635009765625
789,14,6,14;23;24;13;12;3;4;5;6;,42;73;74;38;35;6;9;12;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",0.0
790,14,7,14;15;19;20;18;7;,41;45;59;60;54;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",58.82011413574219
791,14,7,14;23;22;20;18;7;,42;72;68;60;54;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",86.56671905517578
792,14,7,14;15;19;17;16;18;7;,41;45;58;52;50;54;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",51.02458572387695
793,14,7,14;15;22;21;20;18;7;,41;46;69;64;60;54;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",70.80651092529297
794,14,7,14;23;24;21;20;18;7;,42;73;75;64;60;54;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",1.5411393642425537
795,14,7,14;23;22;15;19;17;16;18;7;,42;72;67;45;58;52;50;54;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",0.0
796,14,8,14;11;4;5;6;8;,40;31;9;12;16;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324)",27.11363410949707
797,14,8,14;11;12;3;1;2;6;8;,40;33;35;5;1;4;16;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",40.39891815185547
798,14,8,14;15;19;17;16;8;,41;45;58;52;47;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.711382 43.562324)",66.10189056396484
799,14,8,14;15;19;20;18;7;8;,41;45;59;60;54;17;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844, -96.711382 43.562324)",30.44590187072754
800,14,8,14;23;22;20;18;7;8;,42;72;68;60;54;17;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844, -96.711382 43.562324)",8.799246788024902
801,14,8,14;23;24;21;20;18;7;8;,42;73;75;64;60;54;17;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844, -96.711382 43.562324)",227.14041137695312
802,14,9,14;11;10;9;,40;32;26;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)",75.65641784667969
803,14,9,14;15;10;9;,41;43;26;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596)",59.42047882080078
804,14,9,14;23;22;15;10;9;,42;72;67;43;26;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596)",464.923095703125
805,14,10,14;11;10;,40;32;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.731438 43.545271)",3.2750701904296875
806,14,10,14;15;10;,41;43;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731438 43.545271)",73.27738189697266
807,14,10,14;23;22;15;10;,42;72;67;43;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.731438 43.545271)",2023.447509765625
808,14,11,14;23;24;13;12;3;4;11;,42;73;74;38;35;6;10;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)",0.0
809,14,12,14;11;12;,40;33;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941)",82.8032455444336
810,14,12,14;23;24;13;12;,42;73;74;38;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941)",617.19677734375
811,14,13,14;11;12;13;,40;33;37;,"LINESTRING (-96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.793377 43.490707)",0.04308532178401947
812,14,13,14;23;24;13;,42;73;74;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707)",599.9569091796875
813,14,15,14;23;22;15;,42;72;67;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401)",0.0
814,14,16,14;15;19;17;16;,41;45;58;52;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744)",55.7722053527832
815,14,16,14;15;19;20;18;16;,41;45;59;60;55;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744, -96.711382 43.546744)",60.822181701660156
816,14,16,14;23;22;20;18;16;,42;72;68;60;55;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.694078 43.546744, -96.711382 43.546744)",79.90888214111328
817,14,16,14;15;22;21;20;18;16;,41;46;69;64;60;55;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.711382 43.546744)",59.14873504638672
818,14,16,14;23;22;15;19;17;16;,42;72;67;45;58;52;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744)",4.827302932739258
819,14,16,14;23;24;21;20;18;16;,42;73;75;64;60;55;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.711382 43.546744)",439.52069091796875
820,14,17,14;15;10;17;,41;43;30;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731438 43.545271, -96.711382 43.541280)",90.97540283203125
821,14,17,14;15;19;17;,41;45;58;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280)",48.55080795288086
822,14,17,14;23;22;15;19;17;,42;72;67;45;58;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280)",560.4737548828125
823,14,18,14;15;19;20;18;,41;45;59;60;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744)",40.561214447021484
824,14,18,14;23;22;20;18;,42;72;68;60;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.694078 43.546744)",56.308868408203125
825,14,18,14;15;19;17;16;18;,41;45;58;52;50;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.694078 43.546744)",81.20122528076172
826,14,18,14;15;22;21;20;18;,41;46;69;64;60;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744)",70.81952667236328
827,14,18,14;23;24;21;20;18;,42;73;75;64;60;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744)",41.404884338378906
828,14,18,14;23;22;15;19;17;16;18;,42;72;67;45;58;52;50;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.694078 43.546744)",0.0
829,14,19,14;15;19;,41;45;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)",2.3150250911712646
830,14,19,14;23;22;15;19;,42;72;67;45;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",61.808868408203125
831,14,19,14;23;22;20;19;,42;72;68;61;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.711316 43.529591)",235.8760986328125
832,14,20,14;15;19;20;,41;45;59;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)",66.71939849853516
833,14,20,14;23;22;20;,42;72;68;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333)",54.917930603027344
834,14,20,14;15;22;21;20;,41;46;69;64;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333)",92.68626403808594
835,14,20,14;23;24;21;20;,42;73;75;64;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485, -96.711185 43.515333)",63.776702880859375
836,14,20,14;15;19;17;16;18;20;,41;45;58;52;50;56;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",221.89981079101562
837,14,21,14;15;22;21;,41;46;69;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485)",89.20619201660156
838,14,21,14;23;24;21;,42;73;75;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485)",58.07140350341797
839,14,21,14;23;22;20;21;,42;72;68;62;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858, -96.711185 43.515333, -96.730979 43.510485)",252.722412109375
840,14,22,14;15;22;,41;46;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",71.78141784667969
841,14,22,14;23;22;,42;72;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.731241 43.514858)",1128.2186279296875
842,14,24,14;23;24;,42;73;,"LINESTRING (-96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164)",60.21105194091797
843,14,24,14;15;22;21;24;,41;46;69;66;,"LINESTRING (-96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.749200 43.503164)",339.7889404296875
844,15,1,15;10;11;4;3;1;,43;27;31;8;5;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",18.094390869140625
845,15,1,15;10;9;5;4;3;1;,43;26;23;11;8;5;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",49.846797943115234
846,15,1,15;14;11;4;3;1;,44;40;31;8;5;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",10.619672775268555
847,15,1,15;10;11;12;3;1;,43;27;33;35;5;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",22.24243927001953
848,15,1,15;14;11;12;3;1;,44;40;33;35;5;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",61.70403289794922
849,15,1,15;22;23;24;13;12;3;1;,46;70;73;74;38;35;5;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",337.49267578125
850,15,2,15;10;9;5;4;3;1;2;,43;26;23;11;8;5;1;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",97.78443908691406
851,15,2,15;10;9;5;6;2;,43;26;23;12;14;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586, -96.711251 43.605813)",21.037628173828125
852,15,2,15;19;17;16;8;6;2;,45;58;52;47;19;14;,"LINESTRING (-96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813)",49.59318542480469
853,15,2,15;22;23;24;13;12;3;1;2;,46;70;73;74;38;35;5;1;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",24.824811935424805
854,15,2,15;22;21;20;18;7;8;6;2;,46;69;64;60;54;17;19;14;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844, -96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813)",0.0
855,15,3,15;10;11;4;3;,43;27;31;8;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962)",0.6358360648155212
856,15,3,15;10;9;5;4;3;,43;26;23;11;8;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962)",87.85382080078125
857,15,3,15;14;11;4;3;,44;40;31;8;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962)",93.9748764038086
858,15,3,15;10;11;12;3;,43;27;33;35;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962)",69.99818420410156
859,15,3,15;14;11;12;3;,44;40;33;35;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962)",13.265215873718262
860,15,3,15;22;23;24;13;12;3;,46;70;73;74;38;35;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164, -96.793377 43.490707, -96.780137 43.543941, -96.774303 43.572962)",0.0
861,15,4,15;10;11;4;,43;27;31;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654)",87.13153076171875
862,15,4,15;10;9;5;4;,43;26;23;11;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654)",85.13975524902344
863,15,4,15;14;11;4;,44;40;31;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654)",44.27439498901367
864,15,4,15;14;11;12;3;4;,44;40;33;35;6;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654)",283.4543151855469
865,15,5,15;10;9;5;,43;26;23;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034)",13.355159759521484
866,15,5,15;10;11;4;5;,43;27;31;9;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034)",89.62617492675781
867,15,5,15;14;11;4;5;,44;40;31;9;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034)",89.15065002441406
868,15,5,15;14;11;12;3;4;5;,44;40;33;35;6;9;,"LINESTRING (-96.731504 43.529401, -96.751035 43.529306, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",7.868011474609375
869,15,6,15;10;9;5;6;,43;26;23;12;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586)",24.14000701904297
870,15,6,15;19;17;16;8;6;,45;58;52;47;19;,"LINESTRING (-96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.711382 43.562324, -96.711644 43.587586)",61.41740036010742
871,15,6,15;22;21;20;18;7;8;6;,46;69;64;60;54;17;19;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844, -96.711382 43.562324, -96.711644 43.587586)",114.44259643554688
872,15,7,15;19;20;18;7;,45;59;60;54;,"LINESTRING (-96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",57.60799026489258
873,15,7,15;22;20;18;7;,46;68;60;54;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",3.4044337272644043
874,15,7,15;19;17;16;18;7;,45;58;52;50;54;,"LINESTRING (-96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",1.987789273262024
875,15,7,15;22;21;20;18;7;,46;69;64;60;54;,"LINESTRING (-96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744, -96.693423 43.563844)",436.9997863769531
876,15,8,15;10;9;8;,43;26;24;,"LINESTRING (-96.731504 43.529401, -96.731438 43.545271, -96.731241 43.548596, -96.711382 43.562324)",49.51357650756836
